UserId,MusicId,Replays
1,1,3
1,5,4
1,7,8
1,3,2
1,1,4
1,3,7
1,5,2
2,3,10
2,1,25
2,3,1
2,5,7
2,7,4
2,10,2
3,57,15
3,23,14
3,78,25
4,35,21
4,52,4
4,67,3
4,41,5
4,40,19
4,18,20
4,52,13
5,35,4
6,10,7
6,84,7
6,19,6
7,38,17
7,60,8
8,33,24
8,92,5
8,84,9
9,1,23
9,72,7
10,92,8
10,40,1
10,92,14
11,38,20
11,60,8
12,19,23
12,92,21
12,40,4
13,33,5
13,23,5
14,52,2
15,38,8
15,80,20
16,46,24
17,14,1
17,46,23
17,35,17
18,14,10
19,57,13
19,41,24
20,60,18
21,57,18
21,33,5
22,36,7
23,36,7
25,18,23
25,38,25
26,1,20
26,33,21
27,78,23
27,67,14
27,60,2
28,72,13
30,67,1
30,80,17
